Id,SalePrice
1,173410.265625
2,168087.15625
3,160495.296875
4,163917.078125
5,187330.6875
6,226087.296875
7,153390.1875
8,165251.453125
9,192886.328125
10,137811.40625
11,96591.4453125
12,166017.578125
13,259995.9375
14,146675.125
15,97941.6484375
16,175326.828125
17,241276.28125
18,110156.71875
19,196803.28125
20,177698.640625
21,160621.1875
22,175325.328125
23,144836.53125
24,177771.1875
25,131340.40625
26,212192.453125
27,227507.796875
28,173969.8125
29,136902.078125
30,197973.6875
31,159554.75
32,125647.421875
33,156402.03125
34,149581.0625
35,208144.25
36,138542.21875
37,193975.703125
38,167081.40625
39,145524.5
40,185983.5625
41,213486.734375
42,114895.1328125
43,134871.171875
44,125764.390625
45,167313.671875
46,169715.015625
47,130793.6640625
48,128832.1484375
49,160537.3125
50,198967.515625
51,186975.9375
52,190937.578125
53,107986.328125
54,150945.796875
55,194343.703125
56,177983.015625
57,154784.8125
58,173854.03125
59,143090.515625
60,120142.2578125
61,171905.046875
62,210324.3125
63,116297.03125
64,208514.34375
65,169647.046875
66,145645.765625
67,225150.703125
68,192360.65625
69,135558.296875
70,173076.78125
71,134490.1875
72,180087.375
73,166854.84375
74,111731.96875
75,152199.375
76,249741.84375
77,232796.109375
78,118200.1875
79,124965.484375
80,146857.9375
81,156171.359375
82,220959.5625
83,198259.921875
84,144057.515625
85,191027.953125
86,213572.765625
87,141028.640625
88,190339.078125
89,122565.703125
90,163687.703125
91,150650.40625
92,231816.5
93,180544.25
94,118371.4296875
95,172796.640625
96,147524.28125
97,174387.84375
98,209857.984375
99,183322.703125
100,173099.046875
101,202334.296875
102,157108.578125
103,176554.203125
104,198289.953125
105,125097.9296875
106,171493.171875
107,186044.625
108,140863.4375
109,168159.8125
110,133307.59375
111,115372.8984375
112,197861.5625
113,146267.46875
114,149331.859375
115,177528.890625
116,146731.953125
117,133210.15625
118,144923.109375
119,207541.859375
120,153241.21875
121,180331.046875
122,131823.21875
123,175893.234375
124,213580.0625
125,168781.390625
126,177624.453125
127,180620.703125
128,137904.8125
129,213038.359375
130,174763.890625
131,150378.625
132,209071.375
133,185822.484375
134,120066.140625
135,199476.515625
136,135033.625
137,209270.15625
138,169792.515625
139,154113.0625
140,185413.171875
141,192538.65625
142,148382.15625
143,303465.21875
144,177632.53125
145,190510.3125
146,244653.71875
147,148228.84375
148,158230.265625
149,141618.9375
150,168120.53125
151,210758.90625
152,182899.15625
153,111755.7578125
154,188419.140625
155,171030.765625
156,141031.484375
157,222369.984375
158,205643.328125
159,144535.390625
160,208114.203125
161,128064.1796875
162,162522.453125
163,267084.625
164,184963.046875
165,140581.53125
166,198996.765625
167,189207.75
168,197408.0625
169,134456.421875
170,163347.4375
171,150929.484375
172,190457.234375
173,228489.734375
174,196567.484375
175,184053.078125
176,269312.59375
177,218974.0625
178,194097.1875
179,194745.109375
180,190401.90625
181,125114.3359375
182,156266.84375
183,172770.59375
184,148085.1875
185,158260.84375
186,194640.9375
187,174408.75
188,112669.6328125
189,204165.625
190,131712.96875
191,147511.46875
192,193156.65625
193,161520.546875
194,233043.984375
195,141328.125
196,174609.6875
197,222179
198,180588.5625
199,232208.484375
200,162263.640625
201,161393.328125
202,154716.109375
203,210126.890625
204,180581.25
205,147691.46875
206,215011.296875
207,167142.40625
208,168904.03125
209,165236.890625
210,146381.375
211,274187.375
212,115979.1640625
213,165550.65625
214,166041.53125
215,126416.9765625
216,167127.453125
217,152936
218,237652.34375
219,197109.453125
220,208521.40625
221,158094.625
222,211087.65625
223,145181.5625
224,255551.59375
225,131935.78125
226,178565.890625
227,126105.3671875
228,204867.3125
229,154207.828125
230,148574.015625
231,180648.296875
232,145985.21875
233,128328.8125
234,169016.234375
235,151208.859375
236,133096.03125
