id,species1,species2,species3
sample_1,0.9971465575545,0.00269947259219895,0.000153969853301001
sample_2,0.0916693177190258,0.908329144972686,0.00000153730828772741
sample_3,0.987317428187282,0.0124962165327042,0.000186355280014215
sample_4,0.647123005710248,0.35284617561292,0.0000308186768320686
sample_5,0.000813907295064312,0.999186056519154,0.0000000361857817542975
sample_6,0.0014165132095352,0.000000147557729725849,0.998583339232735
sample_7,0.782775974036089,0.217205964933815,0.000018061030096106
sample_8,0.431641982965534,0.0000305996257778654,0.568327417408689
sample_9,0.000234873289587807,0.999765118439004,0.00000000827140829587775
sample_10,0.00223969688546846,0.997760225615262,0.0000000774992696789752
sample_11,0.0189153084838979,0.00000272608969236749,0.98108196542641
sample_12,0.000324639651202158,0.999675346758571,0.0000000135902267578654
sample_13,0.11319670912209,0.00000785317630148778,0.886795437701609
sample_14,0.997971204946534,0.00172039666646066,0.000308398387005102
sample_15,0.0000747720841503428,0.0000000199298920248491,0.999925207985958
sample_16,0.887032615006224,0.112920901281758,0.0000464837120180618
sample_17,0.000484036217278308,0.000000166433626532965,0.999515797349095
sample_18,0.00115593355884386,0.000000107753068091093,0.998843958688088
sample_19,0.0609976078202542,0.93899917447482,0.00000321770492606361
sample_20,0.997304572284627,0.00253358497497499,0.000161842740397607
sample_21,0.00862570261316032,0.991374146442369,0.000000150944471005031
sample_22,0.00131014009484483,0.000000127451023999449,0.998689732454131
sample_23,0.0234381601176064,0.00000154435294752867,0.976560295529446
sample_24,0.385971740864872,0.0000449118285539325,0.613983347306574
sample_25,0.000137518617413433,0.0000000238485312228116,0.999862457534056
sample_26,0.998717796562367,0.000757454523134685,0.000524748914498433
sample_27,0.10299316732547,0.897005187950506,0.00000164472402397064
sample_28,0.0171539976754019,0.982845558909975,0.000000443414623311619
sample_29,0.00828138467286635,0.991718309863275,0.000000305463858161069
sample_30,0.792913334515514,0.0000975028373482254,0.206989162647138
sample_31,0.436918864146278,0.0000436674957907252,0.563037468357932
sample_32,0.961730375407171,0.000115104765168576,0.0381545198276609
sample_33,0.982525367129258,0.0174187475341851,0.0000558853365574152
sample_34,0.010650690044922,0.989349103358029,0.000000206597048988514
sample_35,0.00928289265295045,0.00000068157364086608,0.990716425773409
sample_36,0.0415105906942091,0.00000256206535249677,0.958486847240438
sample_37,0.000245240517598533,0.999754749516932,0.0000000099654695518842
sample_38,0.000119514698462843,0.0000000229659400106145,0.999880462335597
sample_39,0.0111509248758853,0.988848170518438,0.000000904605676247985
sample_40,0.994700559730404,0.000226497825135182,0.00507294244446126
sample_41,0.000176161199157389,0.0000000246222509642714,0.999823814178592
sample_42,0.00037315339911079,0.999626836099425,0.0000000105014640369913
sample_43,0.0215466171046798,0.978451925215981,0.00000145767933957679
sample_44,0.99608326455559,0.00363267311344198,0.000284062330967928
sample_45,0.00133840241331515,0.000000159888798559925,0.998661437697886
sample_46,0.0279671282533264,0.972032397827025,0.000000473919648017744
sample_47,0.972799841679378,0.00010793283330402,0.0270922254873178
sample_48,0.00147254579228963,0.998527415703051,0.0000000385046591626924
sample_49,0.618260833052061,0.0000428756987234568,0.381696291249216
sample_50,0.88239287141184,0.117573495623068,0.0000336329650920684
sample_51,0.00189830396961646,0.000000248713591196927,0.998101447316792
sample_52,0.514375779364731,0.485562920307921,0.0000613003273484946
sample_53,0.21280516542504,0.787185120266712,0.0000097143082481972
sample_54,0.00064746161429163,0.999352518292484,0.0000000200932245754846
sample_55,0.793562055521394,0.206416740900326,0.0000212035782797331
sample_56,0.992722196881905,0.000169095643776265,0.00710870747431823
sample_57,0.998369375426636,0.000439275311624539,0.00119134926173931
sample_58,0.00538502889844733,0.994614794473217,0.000000176628335632277
sample_59,0.124926390431622,0.875071001735382,0.00000260783299595462
sample_60,0.975166893583382,0.0247826195830462,0.0000504868335717317
sample_61,0.00366664054620669,0.99633328106672,0.0000000783870731750677
sample_62,0.00911032689964632,0.990889450054033,0.000000223046320750503
sample_63,0.99849961072254,0.000517495843368304,0.00098289343409119
sample_64,0.00260235860304652,0.997397577243667,0.0000000641532861507488
sample_65,0.000590120081528208,0.000000131052206500758,0.999409748866265
